Отметка времени,"Единая учетная запись СПбГУ (например, ST000000)","Выберете интересующие Вас роли, в  IT [Бизнес и системный анализ]","Выберете интересующие Вас роли, в  IT [Дизайн UX / UI и проектирование интерфейсов]","Выберете интересующие Вас роли, в  IT [Анализ и инженерия данных]","Выберете интересующие Вас роли, в  IT [Backend - разработка]","Выберете интересующие Вас роли, в  IT [Frontend - разработка]","Выберете интересующие Вас роли, в  IT [Тестирование и обеспечение качества]","Выберете интересующие Вас роли, в  IT [Развертывание и внедрение]","Выберете интересующие Вас роли, в  IT [Управление командой / проектом]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Разработка веб-сервисов (сайты, сервисы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ текстов и поисковые движки]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ изображений / видео]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ временных рядов]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Анализ табличных данных]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Робототехника (оборудование, теория управления, техническое зрение, интерфейсы)]","Выберете интересные для вас направление проекта (в направлении проекта могут быть все роли, указанные выше) [Gamedev]","Если в предыдущем вопросе для Вас не было интересного направления деятельности, расскажите нам об области, в которой Вы хотите развиваться","Если Вы уже работаете над интересным проектом или успешно завершили - опишите, что это за проект и свою роль в нем (можете добавить ссылку на репозиторий)","Оцените Ваши знания в области IT [Парадигмы программирования (ООП, функциональное, аспектно-ориентированное, и др.)]",Оцените Ваши знания в области IT [Архитектура ПО],Оцените Ваши знания в области IT [Паттерны проектирования],"Оцените Ваши знания в области IT [Протоколы коммуникаций (REST, gRPC, и др.)]",Оцените Ваши знания в области IT [Алгоритмы и структуры данных],Оцените Ваши знания в области IT [Потоки и параллельность],Оцените Ваши знания в области IT [Linux in dev and administration],Оцените Ваши знания в области IT [Windows in dev and administration],Оцените Ваши знания в области IT [Проектирование и оптимизация баз данных],Оцените Ваши знания в области IT [Data Science and Machine Learning],"Какими еще знаниями Вы владеете, релевантными для IT-отрасли и в какой степени? Перечислите их и оцените","Языки программирования (например: C++, Python, Java, etc)","Библиотеки и фреймворки для различных направлений использования (например: Qt, Numpy, Weka, Angular, PyTorch, etc)","Инструменты для проектирования, бизнес и системного анализа (например: BPMN, UML, Archimate, ARIS etc)","Инструменты для разработки ПО - например: VS Code, PyCharm, Git, etc)","Инструменты для тестирования  (например: GTests, Selenium, Gatling, pytest etc)","Инструменты CI / CD (например: Jenkins, Travis CI, Docker, etc)","Инструменты для управления проектами (например: Jira, Trello, MS Project, etc) ","Аналитические навыки [Поиск информации (научные статьи, документация)]",Аналитические навыки [Сбор и анализ требований к ПО],Аналитические навыки [Декомпозиция задач],Аналитические навыки [Планирование своей и чужой деятельности],Аналитические навыки [Тестирование],Аналитические навыки [Ведение документации],SoftSkills [Self management],SoftSkills [Коммуникации],SoftSkills [Работа в команде],SoftSkills [Наставничество],SoftSkills [Управление людьми],Какими еще навыками в области IT Вы обладаете? Оцените данные навыки,Оцените Ваш уровень мотивации [К работе над интересными проектами],Оцените Ваш уровень мотивации [Определить свой путь дальнейшего развития и развиваться в IT],Оцените Ваш уровень мотивации [Устроиться на интересную для себя работу],"Хотите ли Вы общаться с другими студентами и выпускниками, заинтересованными в развитии в области IT на базе СПбГУ на интересующие Вас темы?","Что Вам поможет развиваться быстрее в том направлении деятельности, которое Вы выбрали?"
9/6/2021 22:07:20,ST054698,Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,Не интересно,Не интересно,,Работаю над системой распознавания liveness атак для систем распознавания пользователей по лицу в международной компании,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,,,"Python 4
C++ 2
Kotlin 2","Tensorfow 4
Numpy 3
Pandas 3
Pytorch 2",,"VS Code 4
Git 4
PyCharm 3",,Docker 3,"Jira 4
Trello 2",4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял",3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,Хорошо,Хорошо,Нормально,Хорошо,Нормально,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",0 - Не хочу,0 - Не хочу,Да,
9/6/2021 22:49:07,ST077261,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",,,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,0 - Не знаю,,,"C++ - 2
JavaScript - 2
Java - 1
Python - 1","Qt - 1
VueJS - 3",,"VS Code - 2
Visual Studio - 2
PyCharm - 2
WebStorm - 3
MatLab - 2",,,GitHub - 2,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял",0 - Не знаю,0 - Не знаю,"1 - Слышал, но не применял","1 - Слышал, но не применял",Ниже среднего,Ниже среднего,Нормально,Ниже среднего,Ниже среднего,,4 - Готов выполнять задания на благо команды,"2 - Хочу что-то делать, но не знаю что и как",4 - Готов выполнять задания на благо команды,Да,опытный наставник
9/6/2021 22:58:05,ST076363,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,,,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,0 - Не знаю,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",,,"JavaScript - 4, c++ - 2","VueJS - 3, ReactJS - 2, sass/scss - 4",,VS Code - 4,,Docker - 2,Jira - 2,4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял",3 - Искал доп информацию и пытался прокачаться,Отлично,Отлично,Отлично,Нормально,Нормально,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,
9/6/2021 22:59:23,ST054652,Не интересно,Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,,,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,,,"Python - 5
JavaScript - 4","Django - 5
React - 4
Numpy - 4
Pandas - 4
Lxml - 5",UML - 5,"PyCharm - 5
DataGrip - 5
Git - 5
VS Code - 4","Selenium - 5
Pytest - 5","Travis CI - 4
Docker - 4
Github Actions - 3","Jira - 5
Trello - 5",5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,Отлично,Хорошо,Отлично,Хорошо,Хорошо,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,
9/6/2021 23:04:00,ST091906,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать",,,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,,"методы машинного обучения, NLP",Python - 3,"Pandas - 4
Numpy - 3
Sklearn - 3
Matplotlib - 3
Seaborn - 3",,PyCharm - 3,,,Trello - 2,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял",0 - Не знаю,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял","2 - Пробовал, и частично овладел",Хорошо,Хорошо,Хорошо,Нормально,Нормально,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,Опыт работы над реальными задачами
9/6/2021 23:32:15,ST054701,Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,"Работаю над несколькими gamedev проектами в качестве ведущего разработчика, основной: https://store.steampowered.com/app/908740/VALHALL_Harbinger__PreBeta_Testing/

В команде могу передать опыт разработки игровых проектов на Unreal Engine",5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,,,"Unreal Engine - 5
C++ - 4
Python - 3
Django - 2
React - 2
Kotlin - 2","Unreal Engine, Numpy, Django, React",,"Git, SVN, Visual Studio 2019, PyCharm",,"Jenkins, GitLab CI","Jira, Trello, Notion",4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Отлично,Хорошо,Хорошо,Хорошо,Хорошо,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,5 - Готов сам стать мотиватором для других,Нет,"В основном я сам, мой уровень мотивации и self management'а :)
Также в работе над проектами важно иметь качественное наставничество, это несомненно способствует наискорейшему росту"
9/7/2021 1:00:33,ST076645,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,Не интересно,,,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",,,Python - 3,Django - 3,,Git - 3,,Docker - 3,"Jira - 4
Confluence - 4",4 - Постоянно применяю в работе и хорошо знаю теорию,3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,4 - Постоянно применяю в работе и хорошо знаю теорию,"1 - Слышал, но не применял",3 - Искал доп информацию и пытался прокачаться,Отлично,Отлично,Отлично,Отлично,Отлично,"знание ITIL, ITSM на базовом уровне ",5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,
9/7/2021 1:07:10,ST054731,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать",,"Успел поучаствовать в проектах по анализу юридических текстов, агрегатор мероприятий, анализ керна в рамках учебных практик. ",4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,4 - Применял в проекте в команде,,"Работа с git, организация процесса разработки","Python - 4
c++ - 2
golang - 2
erlang - 2
sql - 4","numpy - 4
pandas - 4
sklearn - 4
scipy - 3
tensorflow - 3
pytorch - 3
flask - 4
apispec - 4
sanic - 2
fastapi - 2
sqlalhemy - 4
react - 3
angular - 2","UML - 3
Draw.io - 4","vscode - 4
git - 4
jupyter-notebook - 3
","pytest - 3
selenium - 2
gatling - 2
yandex tank - 2
postman/thunder client - 3","jenkins - 2
travis - 2
gitlab-ci - 3
docker - 4
docker-compose - 3
kuber/openshift - 2
podman - 2","gitlab projects - 4
trello - 4
github projects - 3
jira - 2",3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,5 - Могу обучать других и давать советы,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,Отлично,Хорошо,Отлично,Хорошо,Отлично,,5 - Готов сам стать мотиватором для других,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,Практика и только практика
9/7/2021 16:19:30,ST054639,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать",Не интересно,Не интересно,,,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,,,"Python - 3
С++ - 1
Java - 1","Numpy - 3
Pandas - 3",,"VS Code - 2
PyCharm - 2
Git - 3",,Docker - 2,Jira - 4,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял","2 - Пробовал, и частично овладел",Нормально,Нормально,Нормально,Ниже среднего,Ниже среднего,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Нет,Больше свободного времени
9/8/2021 1:00:19,ST032721,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,Не интересно,,"Не совсем проект: прошел курс по Deep Learning от Школы глубокого обучения ФПМИ МФТИ. 

Чем занимались (у домашек есть краткие описания проделанной работы):
1. Финальный проект по I части:
https://github.com/navolotsky/neural-style-transfer-telegram-bot
2. Домашки I части курса и сертификат:
https://github.com/navolotsky/MIPT-DLS-Deep-Learning-Part-I-Homeworks
3. Домашки II части курса:
https://github.com/navolotsky/MIPT-DLS-Deep-Learning-Part-II-Homeworks


Также попробовал выполнить имплементацию Single Shot MultiBox Detector с претренированной MobileNetV3 в качестве backbone:
https://github.com/navolotsky/Junior-Computer-Vision-Engineer-Test-Task-Neurus",3 - Пробовал на практике в простых задачах,0 - Не знаю,2 - Изучал информацию и частично разобрался,0 - Не знаю,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,,Базовые навыки построения и обучения нейронных сетей,"C++ - 1
C# - 1
Java - 1
JavaScript - 1
Python - 2","Qt - 1
Numpy - 2
Angular - 1
PyTorch - 2",UML - 1,"VS Code - 2
PyCharm - 2
Git - 2","Selenium - 1
pytest - 1",Docker - 1,"Jira - 1
Trello - 1",3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял","1 - Слышал, но не применял",Нормально,Ниже среднего,Нормально,Ниже среднего,Плохо,,"2 - Хочу что-то делать, но не знаю что и как","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",4 - Готов выполнять задания на благо команды,Да,"Сложные задачи, руководство, коллектив, проактивность, дисциплина."
9/8/2021 10:15:32,ST077004,Не интересно,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",,,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,,,c#,,,,,,,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","1 - Слышал, но не применял","1 - Слышал, но не применял","2 - Пробовал, и частично овладел","1 - Слышал, но не применял",Нормально,Нормально,Нормально,Плохо,Плохо,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Нет,
9/8/2021 14:05:08,ST076652,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать",Не интересно,Не интересно,,,4 - Применял в проекте в команде,2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,0 - Не знаю,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",,Концепции машинного обучения - 2,"Python - 2
Swift - 2
Matlab - 2
C++ - 3","Numpy - 2
Qt - 3",,"VS Code - 1
PyCharm - 2
Visual Studio - 2
Matlab - 2
Git - 3
Qt - 3",,,"GitHub - 3
Jira - 1",3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,"1 - Слышал, но не применял","1 - Слышал, но не применял",Хорошо,Хорошо,Хорошо,Плохо,Ниже среднего,,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,4 - Готов выполнять задания на благо команды,Да,"Окружение, которое также замотивировано на развитие"
9/8/2021 14:35:42,ST092158,"Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать",Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",,,4 - Применял в проекте в команде,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,"1 - Что-то слышал или читал, но не овладел",5 - Могу давать советы и решать проблемы и понимаю тенденции развития областей,3 - Пробовал на практике в простых задачах,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,4 - Применял в проекте в команде,,,"C++ - 4
Python - 2
Matlab - 2
Java - 1","Qt - 4
Numpy - 2",,"VS - 3
Qt creator - 4
PyCharm - 2",,,"Trello - 3 
Jira - 2",4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Нормально,Отлично,Хорошо,Нормально,Нормально,,4 - Готов выполнять задания на благо команды,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
9/8/2021 15:41:53,ST088945,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать",Не интересно,Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,,,0 - Не знаю,0 - Не знаю,0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",0 - Не знаю,0 - Не знаю,"1 - Что-то слышал или читал, но не овладел",,,C++、Python,,,PyCharm,,,,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Нормально,Нормально,Нормально,Ниже среднего,Ниже среднего,,"2 - Хочу что-то делать, но не знаю что и как","2 - Хочу что-то делать, но не знаю что и как","2 - Хочу что-то делать, но не знаю что и как",Да,
9/9/2021 13:16:42,ST088937,"Интересно, можно попробовать",Не интересно,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,Хочу поучаствовать в проекте в этой роли и развиваться дальше в эту область,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее","Хочу поучаствовать в проекте по данной области в роли, выбранной ранее",,,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,2 - Изучал информацию и частично разобрался,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,3 - Пробовал на практике в простых задачах,,,python -- 2 kotlin -- 2 java -- 2,Numpy - 2 Panda -- 2,,pycharm vscode intelij IDEA Git,,,,3 - Искал доп информацию и пытался прокачаться,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Хорошо,Хорошо,Хорошо,Нормально,Нормально,,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,5 - Готов сам стать мотиватором для других,Да,
9/9/2021 13:21:09,ST088863,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,,,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,,,"Python, Java","Numpy, Panda",,,"Pycharm, Intelij IDEA",,,"2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел","2 - Пробовал, и частично овладел",Хорошо,Хорошо,Хорошо,Ниже среднего,Ниже среднего,,"3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес","3 - Готов выполнять задания, но если в них вижу личную выгоду/интерес",Да,
9/9/2021 14:47:03,ST088934,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,Не интересно,"Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать","Интересно, можно попробовать",Не интересно,,,2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,"1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел","1 - Что-то слышал или читал, но не овладел",2 - Изучал информацию и частично разобрался,,,"C ++ - 2
Java - 1 
Python - 3","Qt - 1
Numpy - 1
Weka - 1
Angular - 1",,"VS Code - 1
PyCharm - 3
Git - 1",,,,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",3 - Искал доп информацию и пытался прокачаться,4 - Постоянно применяю в работе и хорошо знаю теорию,"2 - Пробовал, и частично овладел",4 - Постоянно применяю в работе и хорошо знаю теорию,Хорошо,Нормально,Хорошо,Нормально,Нормально,,4 - Готов выполнять задания на благо команды,"2 - Хочу что-то делать, но не знаю что и как",4 - Готов выполнять задания на благо команды,Да,
